date,value,is_forecast,fy_label
2016-03-31,487714,0,2015-16
2017-03-31,504653,0,2016-17
2018-03-31,545317,0,2017-18
2019-03-31,585184,0,2018-19
2020-03-31,612481,0,2019-20
2021-03-31,890450,0,2020-21
2022-03-31,1045085,0,2021-22
2023-03-31,1053878,0,2022-23
2024-03-31,1102530,0,2023-24
2025-03-31,1192428,0,2024-25
