date,value,is_forecast,fy_label
2026-03-31,-26.4,1,2025-26
2027-03-31,-10.5,1,2026-27
2028-03-31,-5.2,1,2027-28
2029-03-31,0.9,1,2028-29
2030-03-31,4.5,1,2029-30
2031-03-31,6.1,1,2030-31
