date,underlying_pct,boc,resid,composition_pct,raw_mean_pct,n_obs_curr,n_obs_base
2016-01-01,1.973254532218616,1.9,0.073254532218616,0.9250894610630224,2.870214361517842,49881,50961
2016-02-01,2.006322559013207,2.0,0.0063225590132072185,1.0616266439418487,3.114157649425353,50172,50071
2016-03-01,2.159315454502231,2.2,-0.04068454549776934,1.0818563862047936,3.297163075926845,50605,50197
2016-04-01,2.1643771190664296,2.2,-0.03562288093357058,0.5023681840549798,2.7142552687898114,50901,50247
2016-05-01,1.337662928719241,1.3,0.03766292871924093,0.6095347796115869,2.0013930675744973,52820,51653
2016-06-01,1.2239073847256643,1.2,0.023907384725664338,0.2084770354480847,1.472624323027305,53045,52290
2016-07-01,1.2535598252256364,1.1,0.15355982522563627,0.1788103786640738,1.466706929903494,52325,52353
2016-08-01,1.4801113826699464,1.4,0.08011138266994644,-0.1077763973006074,1.3811486204972525,52319,53013
2016-09-01,1.4392545159380044,1.4,0.03925451593800444,-0.0222745315047512,1.4640392320146578,51793,52194
2016-10-01,1.4175764522013523,1.4,0.0175764522013524,0.0197205820117174,1.4879344580198903,51854,52089
2016-11-01,1.585002618327236,1.5,0.0850026183272361,-0.2142124569892267,1.3852600148168914,51632,51359
2016-12-01,1.4481297347055833,1.4,0.04812973470558335,-0.1789985197129029,1.3108494933234738,51517,50495
2017-01-01,1.3086513003634836,1.2,0.1086513003634837,-0.2317958254891561,1.179388671996251,50990,49881
2017-02-01,1.3892885293819155,1.2,0.18928852938191554,-0.1248877507414869,1.31508310558901,51319,50192
2017-03-01,1.23813226418934,1.1,0.13813226418933988,-0.0746702725896719,1.2211025225144834,51257,50605
2017-04-01,0.8016784657986165,0.7,0.1016784657986165,0.1016814343534733,0.945254949355756,51518,50901
2017-05-01,1.6646028997373552,1.6,0.06460289973735511,-0.0789119645066227,1.582190242302106,53292,52820
2017-06-01,1.8346060092738088,1.7,0.13460600927380884,0.2013151574984384,2.0117947436962824,54048,53045
2017-07-01,1.6987695028771954,1.7,-0.0012304971228045414,-0.0046391844764626,1.7021170033565405,53335,52325
2017-08-01,2.200867038414245,2.2,0.0008670384142446252,0.0907375521901787,2.295960300489863,53255,52319
2017-09-01,2.045492202637278,2.1,-0.054507797362722155,0.289054020039492,2.3494168629687007,52971,51793
2017-10-01,2.131329784565472,2.1,0.031329784565472085,0.044226364452693,2.199202604187112,52729,51854
2017-11-01,1.9786592171068704,2.0,-0.021340782893129573,0.1195832236271732,2.1557777910554687,52353,51632
2017-12-01,2.3907471948276138,2.4,-0.009252805172386136,0.0777543413426284,2.483804224165209,52196,51517
2018-01-01,3.2943002791927967,3.2,0.09430027919279649,0.0595502871926223,3.379156854047793,50872,50990
2018-02-01,3.494379224756994,3.3,0.19437922475699398,-0.0943383024412769,3.4071071204366143,51311,51319
2018-03-01,3.43847536863906,3.3,0.1384753686390603,-0.0550732566120482,3.395179900144729,51332,51257
2018-04-01,3.8515732101050304,3.7,0.15157321010503022,-0.0542290759737107,3.802328367744656,51804,51518
2018-05-01,4.0863122691938925,3.8,0.28631226919389263,0.0169335573582563,4.108502839541495,53364,53292
2018-06-01,4.0658592495667945,3.8,0.26585924956679463,-0.0343482976184805,4.0450732824489855,53425,54048
2018-07-01,4.160786381225323,3.9,0.26078638122532327,-0.2326463688094859,3.945228979919269,52683,53335
2018-08-01,3.549595355090407,3.3,0.2495953550904071,-0.1197024746118269,3.403917239195575,52111,53255
2018-09-01,3.3917391296866217,3.3,0.0917391296866219,-0.2677065300687675,3.054787709797857,51783,52971
